country,country_code,indicator,year,value
Bangladesh,BGD,health_expenditure_per_capita,2023,53.46432495
Bangladesh,BGD,health_expenditure_per_capita,2022,56.62142181
Bangladesh,BGD,health_expenditure_per_capita,2021,56.09640121
Bangladesh,BGD,health_expenditure_per_capita,2020,49.0274353
Bangladesh,BGD,health_expenditure_per_capita,2019,45.07677078
Bangladesh,BGD,health_expenditure_per_capita,2018,44.78892899
Bangladesh,BGD,health_expenditure_per_capita,2017,42.17510986
Bangladesh,BGD,health_expenditure_per_capita,2016,39.30647659
Bangladesh,BGD,health_expenditure_per_capita,2015,33.20998764
Brazil,BRA,health_expenditure_per_capita,2023,1009.83563232
Brazil,BRA,health_expenditure_per_capita,2022,871.27526855
Brazil,BRA,health_expenditure_per_capita,2021,768.27075195
Brazil,BRA,health_expenditure_per_capita,2020,680.76843262
Brazil,BRA,health_expenditure_per_capita,2019,868.17248535
Brazil,BRA,health_expenditure_per_capita,2018,880.28430176
Brazil,BRA,health_expenditure_per_capita,2017,954.75012207
Brazil,BRA,health_expenditure_per_capita,2016,810.20037842
Brazil,BRA,health_expenditure_per_capita,2015,796.15252686
Canada,CAN,health_expenditure_per_capita,2023,6186.65234375
Canada,CAN,health_expenditure_per_capita,2022,6252.34033203
Canada,CAN,health_expenditure_per_capita,2021,6511.46972656
Canada,CAN,health_expenditure_per_capita,2020,5646.19433594
Canada,CAN,health_expenditure_per_capita,2019,5098.88720703
Canada,CAN,health_expenditure_per_capita,2018,5052.90185547
Canada,CAN,health_expenditure_per_capita,2017,4894.7734375
Canada,CAN,health_expenditure_per_capita,2016,4647.14892578
Canada,CAN,health_expenditure_per_capita,2015,4658.83789063
Germany,DEU,health_expenditure_per_capita,2023,6394.62255859
Germany,DEU,health_expenditure_per_capita,2022,6226.14208984
Germany,DEU,health_expenditure_per_capita,2021,6653.58349609
Germany,DEU,health_expenditure_per_capita,2020,5906.80615234
Germany,DEU,health_expenditure_per_capita,2019,5447.31787109
Germany,DEU,health_expenditure_per_capita,2018,5473.55712891
Germany,DEU,health_expenditure_per_capita,2017,5039.35302734
Germany,DEU,health_expenditure_per_capita,2016,4723.32421875
Germany,DEU,health_expenditure_per_capita,2015,4605.59033203
France,FRA,health_expenditure_per_capita,2023,5149.0546875
France,FRA,health_expenditure_per_capita,2022,4857.73388672
France,FRA,health_expenditure_per_capita,2021,5364.89746094
France,FRA,health_expenditure_per_capita,2020,4760.08251953
France,FRA,health_expenditure_per_capita,2019,4519.98583984
France,FRA,health_expenditure_per_capita,2018,4692.99511719
France,FRA,health_expenditure_per_capita,2017,4436.63720703
France,FRA,health_expenditure_per_capita,2016,4289.34716797
France,FRA,health_expenditure_per_capita,2015,4226.62646484
United Kingdom,GBR,health_expenditure_per_capita,2023,5407.17041016
United Kingdom,GBR,health_expenditure_per_capita,2022,5111.81738281
United Kingdom,GBR,health_expenditure_per_capita,2021,5645.40136719
United Kingdom,GBR,health_expenditure_per_capita,2020,4865.97802734
United Kingdom,GBR,health_expenditure_per_capita,2019,4260.03222656
United Kingdom,GBR,health_expenditure_per_capita,2018,4233.62988281
United Kingdom,GBR,health_expenditure_per_capita,2017,3938.65234375
United Kingdom,GBR,health_expenditure_per_capita,2016,4043.35253906
United Kingdom,GBR,health_expenditure_per_capita,2015,4470.09228516
Ghana,GHA,health_expenditure_per_capita,2023,70.25730896
Ghana,GHA,health_expenditure_per_capita,2022,82.32108307
Ghana,GHA,health_expenditure_per_capita,2021,94.40388489
Ghana,GHA,health_expenditure_per_capita,2020,97.37677765
Ghana,GHA,health_expenditure_per_capita,2019,71.14958191
Ghana,GHA,health_expenditure_per_capita,2018,53.37788773
Ghana,GHA,health_expenditure_per_capita,2017,54.10602188
Ghana,GHA,health_expenditure_per_capita,2016,64.86400604
Ghana,GHA,health_expenditure_per_capita,2015,78.21643066
Indonesia,IDN,health_expenditure_per_capita,2023,131.77729797
Indonesia,IDN,health_expenditure_per_capita,2022,127.44384766
Indonesia,IDN,health_expenditure_per_capita,2021,158.89761353
Indonesia,IDN,health_expenditure_per_capita,2020,131.8225708
Indonesia,IDN,health_expenditure_per_capita,2019,118.22380829
Indonesia,IDN,health_expenditure_per_capita,2018,110.71585846
Indonesia,IDN,health_expenditure_per_capita,2017,110.32610321
Indonesia,IDN,health_expenditure_per_capita,2016,106.40021515
Indonesia,IDN,health_expenditure_per_capita,2015,96.15701294
India,IND,health_expenditure_per_capita,2023,84.68669891
India,IND,health_expenditure_per_capita,2022,81.50888824
India,IND,health_expenditure_per_capita,2021,75.54971313
India,IND,health_expenditure_per_capita,2020,63.83099747
India,IND,health_expenditure_per_capita,2019,60.6913681
India,IND,health_expenditure_per_capita,2018,57.46551132
India,IND,health_expenditure_per_capita,2017,56.66844559
